designator,item,quantity,manufacturer,model,status,notes
A1,Network streamer,1,WiiM,WiiM Pro,ACQUIRED-INSTALLED-API-VERIFIED,"Delivered 2026-09-10 and commissioned against the live local API. EQ off; volume limit 70%. Line-level source only; continuously powered with automatic standby. Do not substitute WiiM Amp/Amp Pro without a new ADR."
A2,Stereo power amplifier,1,Fosi Audio,ZA3,ACQUIRED-INSTALLED,"Delivered 2026-09-10 with 48 V / 5 A power supply. Separate analogue power amp; gain/volume is fixed as the commissioning ceiling while user volume is controlled through WiiM. Power-state control remains through the locked 12 V-trigger architecture."
A3L/A3R,Passive speakers,2,Bowers & Wilkins,DM601 S3,ACQUIRED-MOUNTED-FIT-VERIFIED,"Installed in the original speaker bays on spikes. Front ports and tweeters are aligned with openings in the retained speaker-cover construction; surrounding bay air space is intentionally left unpacked."
A4,ZA3 trigger driver and 12 V source,0,Not required,Not required,REMOVED,"Superseded by ADR-0018. Do not connect the ESP32 to the 12 V trigger line."
A5,WiiM-to-ZA3 trigger lead or adaptor,1,WiiM/Fosi,2.5-mm-to-3.5-mm trigger connection,INSTALLED-ACCEPTED,"Direct WiiM Pro trigger out to ZA3 trigger in under ADR-0018. Physical acceptance passed: 30-second standby and switch-only wake. No ESP32 electrical connection to the 12 V line."
A6,Stereo RCA interconnect,1,WiiM,Supplied stereo RCA lead,ACQUIRED-ACCEPTED,"Retained for WiiM Pro line output to ZA3 input. No audiophile replacement is required unless a fault, interference or unsuitable final length is found."
A6B,Turntable-to-WiiM analogue interconnect,1,UGREEN,RCA to 3.5 mm stereo phono/mini-jack lead 1 m (ASIN B015PZ7QO2),PURCHASED-DELIVERED-IN-USE,"Connects the turntable analogue output to WiiM Pro Line-In. Replacement cable ordered for GBP6.28 after the first example was returned as defective; delivered 2026-09-15."
A7,Speaker cable and internal harness,3 x 1 m,QED,Profile 79 Strand C-79/100B-1M,PURCHASED-DELIVERED-INSTALLATION-CHECK,"Black 2 x 2.5 mm2 OFC cable; three separate 1 m lengths provide two short ZA3-to-speaker runs plus one spare. Delivered 2026-09-16 from Inta Audio via eBay; GBP6.30 total with free postage."
A7B,Speaker cable plugs,4,QED,Screwloc Forte 4 mm gold-plated banana plugs,PURCHASED-DELIVERED-INSTALLATION-CHECK,"Pack of four delivered 2026-09-18 from Amazon; sufficient to terminate one end of both stereo runs. Opposite ends remain bare wire unless four additional plugs are purchased."
A8,Turntable,1,Audio-Technica,AT-LP120X,ACQUIRED-EXISTING,"Existing turntable selected for the Decca installation; no turntable purchase required. Verify physical fit and final mounting/clearance in the original turntable bay before installation."
